no_pago,porcentaje_capital,porcentaje_interes
1,7029%,2971%
2,7185%,2815%
3,7345%,2655%
4,7508%,2492%
5,7676%,2324%
6,7847%,2153%
7,8021%,1979%
8,8200%,1800%
9,8382%,1618%
10,8569%,1431%
11,8760%,1240%
12,8955%,1045%
13,9154%,846%
14,9358%,642%
15,9566%,434%
16,9779%,221%
