no_pago,porcentaje_capital,porcentaje_interes
1,63.03%,36.97%
2,64.59%,35.41%
3,66.19%,33.81%
4,67.82%,32.18%
5,69.50%,30.50%
6,71.21%,28.79%
7,72.95%,27.05%
8,74.74%,25.26%
9,76.56%,23.44%
10,78.43%,21.57%
11,80.34%,19.66%
12,82.29%,17.71%
13,84.28%,15.72%
14,86.32%,13.68%
15,88.40%,11.60%
16,85.47%,14.53%
