no_pago,porcentaje_capital,porcentaje_interes
1,73.25%,26.75%
2,74.81%,25.19%
3,76.41%,23.59%
4,78.04%,21.96%
5,79.72%,20.28%
6,81.43%,18.57%
7,83.17%,16.83%
8,84.96%,15.04%
9,86.78%,13.22%
10,88.65%,11.35%
11,90.56%,9.44%
12,92.51%,7.49%
13,94.50%,5.50%
14,96.54%,3.46%
15,98.62%,1.38%
16,99.32%,0.676%
