no_pago,porcentaje_capital,porcentaje_interes
1,65.18%,34.82%
2,66.74%,33.26%
3,68.34%,31.66%
4,69.97%,30.03%
5,71.65%,28.35%
6,73.36%,26.64%
7,75.10%,24.90%
8,76.89%,23.11%
9,78.71%,21.29%
10,80.58%,19.42%
11,82.49%,17.51%
12,84.44%,15.56%
13,86.43%,13.57%
14,88.47%,11.53%
15,90.55%,9.45%
16,91.10%,8.90%
